skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance,root_type,plant,angle,root_id
1,7566,9120,48.071067811865476,2,1.0,0.0,869,1496,914,1494,869,1496,914,1494,45.044422518220834,Primary,2,92.5448043798131,Lateral_129
1,7566,12362,207.62236636408642,2,1.0,0.0,869,1496,1000,1623,869,1496,1000,1623,182.45547402037573,Lateral,2,45.888235495239776,Lateral_5
0,7640,8176,23.72792206135786,2,1.0,0.0,871,2793,888,2805,871,2793,888,2805,20.808652046684813,Lateral,5,54.78240703180729,Lateral_131
1,7849,9988,84.8822509939085,1,1.0,0.0,878,2068,938,2121,878,2068,938,2121,80.05623023850174,Lateral,3,48.54476645559488,Lateral_4
1,7870,8890,67.18376618407352,2,1.0,0.0,879,932,907,877,879,932,907,877,61.71709649683789,Lateral,1,153.01976928177714,Lateral_8
1,7870,10551,76.72792206135784,2,1.0,0.0,879,932,952,923,879,932,952,923,73.55270219373317,Primary,1,97.0283962389496,Primary
0,8176,10391,90.91168824543136,2,1.0,0.0,888,2805,948,2857,888,2805,948,2857,79.39773296511683,Lateral,4,49.08561677997488,Lateral_0
0,8176,8684,12.0,2,1.0,0.0,888,2805,900,2805,888,2805,900,2805,12.0,Lateral,5,90.0,Lateral_132
0,8211,10164,150.953318805774,1,1.0,0.0,889,2614,942,2743,889,2614,942,2743,139.46325680981354,Lateral,4,22.3354425653039,Lateral_2
0,8211,11659,98.7989898732233,2,1.0,0.0,889,2614,982,2628,889,2614,982,2628,94.04786015641186,Primary,4,81.4391104288354,Primary
1,8395,8396,1.0,2,1.0,0.0,894,1036,894,1037,894,1036,894,1037,1.0,Lateral,1,0.0,Lateral_133
1,8395,14353,216.4213562373099,2,1.0,0.0,894,1036,1055,1150,894,1036,1055,1150,197.27392123643713,Lateral,1,54.69866173771009,Lateral_7
1,8396,10104,135.12489168102775,2,1.0,0.0,894,1037,941,1151,894,1037,941,1151,123.30855606972291,Lateral,1,22.40540888336535,Lateral_134
1,8396,8475,3.8284271247461903,2,1.0,0.0,894,1037,896,1040,894,1037,896,1040,3.605551275463989,Lateral,1,33.690067525979785,Lateral_7
1,8475,8475,6.242640687119285,3,1.0,0.0,896,1040,896,1040,896,1040,896,1040,0.0,Lateral,1,0.0,Lateral_135
1,8573,9985,120.22539674441609,2,1.0,0.0,898,2016,938,2118,898,2016,938,2118,109.5627673984187,Lateral,3,21.412969474871762,Lateral_5
1,8573,9504,30.485281374238575,2,1.0,0.0,898,2016,924,2008,898,2016,924,2008,27.202941017470888,Primary,3,107.10272896905236,Primary
0,8684,9065,13.65685424949238,2,1.0,0.0,900,2805,912,2809,900,2805,912,2809,12.649110640673518,Lateral,5,71.56505117707799,Lateral_136
1,8890,15627,206.681240867132,2,1.0,0.0,907,877,1088,851,907,877,1088,851,182.8578683021324,Lateral,1,98.17441462646028,Lateral_8
0,8975,9621,34.213203435596434,2,1.0,0.0,909,3149,927,3124,909,3149,927,3124,30.805843601498726,Lateral,5,144.24611274556327,Lateral_137
0,8975,10494,44.31370849898475,2,1.0,0.0,909,3149,950,3147,909,3149,950,3147,41.048751503547585,Primary,5,92.79270236571328,Primary
0,9065,9253,6.82842712474619,2,1.0,0.0,912,2809,917,2806,912,2809,917,2806,5.830951894845301,Lateral,5,120.96375653207352,Lateral_138
0,9065,10090,35.55634918610405,2,1.0,0.0,912,2809,940,2823,912,2809,940,2823,31.304951684997057,Lateral,5,63.43494882292201,Lateral_139
1,9120,11839,73.82842712474618,2,1.0,0.0,914,1494,986,1491,914,1494,986,1491,72.06247289678588,Primary,2,92.38594403038883,Lateral_140
1,9120,12362,166.37972567696693,2,1.0,0.0,914,1494,1000,1623,914,1494,1000,1623,155.03870484495155,Lateral,2,33.690067525979785,Lateral_6
0,9211,9248,1.4142135623730951,1,1.0,0.0,916,2800,917,2801,916,2800,917,2801,1.4142135623730951,Lateral,5,45.0,Lateral_142
0,9248,9252,4.0,2,1.0,0.0,917,2801,917,2805,917,2801,917,2805,4.0,Lateral,5,0.0,Lateral_143
0,9248,10124,32.97056274847715,2,1.0,0.0,917,2801,941,2817,917,2801,941,2817,28.844410203711913,Lateral,5,56.309932474020215,Lateral_144
0,9252,9253,1.0,2,1.0,0.0,917,2805,917,2806,917,2805,917,2806,1.0,Lateral,5,0.0,Lateral_145
0,9252,9253,5.242640687119285,2,1.0,0.0,917,2805,917,2806,917,2805,917,2806,1.0,Lateral,5,0.0,Lateral_146
1,9504,10300,22.82842712474619,2,1.0,0.0,924,2008,946,2010,924,2008,946,2010,22.090722034374522,Primary,3,84.8055710922652,Primary
0,9621,10494,34.28427124746191,2,1.0,0.0,927,3124,950,3147,927,3124,950,3147,32.526911934581186,Lateral,5,45.0,Lateral_5
